epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.183,1.90986,1.62975,1.02874,0.43943,0.31394,0.28911,0.14057,1.78863,1.26274,0.98381,0.00055371,0.00055371,0.00055371
2,218.195,1.82721,1.18566,0.99199,0.46704,0.33729,0.31824,0.15698,1.75519,1.15623,0.97141,0.00109839,0.00109839,0.00109839
3,354.095,1.80129,1.12159,0.98816,0.49332,0.34545,0.33851,0.16676,1.74029,1.08654,0.97072,0.00163208,0.00163208,0.00163208
4,433.496,1.77552,1.08711,0.97638,0.50559,0.32617,0.32456,0.15831,1.75986,1.17828,0.9686,0.00161749,0.00161749,0.00161749
5,513.396,1.75056,1.05757,0.9688,0.51182,0.36163,0.3632,0.17878,1.68295,1.03395,0.95759,0.00160099,0.00160099,0.00160099
6,590.657,1.73166,1.04109,0.96602,0.52078,0.36824,0.36737,0.18446,1.66986,1.01851,0.95291,0.00158448,0.00158448,0.00158448
7,670.69,1.71996,1.0224,0.96229,0.54774,0.37573,0.38307,0.19102,1.65148,0.97355,0.94534,0.00156798,0.00156798,0.00156798
8,748.268,1.7117,1.00424,0.95661,0.57195,0.38494,0.3958,0.20205,1.60357,0.93997,0.94151,0.00155148,0.00155148,0.00155148
9,824.872,1.69821,0.99058,0.9526,0.55151,0.37452,0.38297,0.19294,1.62175,0.99029,0.93772,0.00153497,0.00153497,0.00153497
10,901.505,1.67915,0.9807,0.95036,0.55323,0.39293,0.39715,0.20106,1.60248,0.97032,0.93339,0.00151847,0.00151847,0.00151847
11,980.848,1.67399,0.96924,0.94529,0.56535,0.38651,0.39507,0.20126,1.60224,0.93526,0.93909,0.00150197,0.00150197,0.00150197
12,1058.85,1.66478,0.96185,0.94442,0.58307,0.40097,0.41327,0.2103,1.57743,0.92295,0.93322,0.00148546,0.00148546,0.00148546
13,1135.18,1.65055,0.95188,0.94263,0.56543,0.39573,0.40569,0.21026,1.55887,0.96187,0.93073,0.00146896,0.00146896,0.00146896
14,1211.58,1.64026,0.94278,0.93672,0.56312,0.40616,0.41578,0.20718,1.61337,0.93926,0.93638,0.00145246,0.00145246,0.00145246
15,1287.1,1.63154,0.93355,0.9384,0.58423,0.39745,0.41313,0.21352,1.54506,0.90689,0.92503,0.00143595,0.00143595,0.00143595
