epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,1368.91,1.62168,0.92894,0.93416,0.59327,0.41101,0.42965,0.21922,1.54734,0.89878,0.92294,0.00141945,0.00141945,0.00141945
17,1444.56,1.61658,0.92325,0.93587,0.5761,0.40717,0.42174,0.2154,1.54744,0.89754,0.9229,0.00140295,0.00140295,0.00140295
18,1581.32,1.62628,0.91675,0.93428,0.60244,0.41446,0.43159,0.22145,1.52769,0.87215,0.92225,0.00138644,0.00138644,0.00138644
19,1661.11,1.61646,0.91576,0.93065,0.58637,0.40823,0.42501,0.21853,1.54652,0.88781,0.92067,0.00136994,0.00136994,0.00136994
20,1737.23,1.60813,0.91304,0.92922,0.5956,0.41676,0.43406,0.22219,1.54053,0.87869,0.91902,0.00135344,0.00135344,0.00135344
21,1813.78,1.60504,0.90438,0.92745,0.59958,0.42006,0.43498,0.22638,1.50913,0.86689,0.91882,0.00133693,0.00133693,0.00133693
22,1890.66,1.61243,0.90967,0.93025,0.58416,0.41993,0.43338,0.22224,1.53053,0.88724,0.92016,0.00132043,0.00132043,0.00132043
23,1968.45,1.59259,0.89342,0.92752,0.59111,0.42402,0.43833,0.22371,1.53307,0.87233,0.91766,0.00130393,0.00130393,0.00130393
24,2043.96,1.59872,0.89628,0.92566,0.60523,0.42488,0.44591,0.22679,1.52521,0.87174,0.91498,0.00128742,0.00128742,0.00128742
25,2120.9,1.58743,0.88788,0.9239,0.6094,0.43007,0.44898,0.23084,1.50742,0.85365,0.91388,0.00127092,0.00127092,0.00127092
26,2197.77,1.58831,0.89098,0.92652,0.60859,0.42869,0.44855,0.23139,1.50182,0.85058,0.91333,0.00125442,0.00125442,0.00125442
27,2295.56,1.58334,0.88667,0.92712,0.61379,0.43548,0.45372,0.23443,1.49879,0.86074,0.91163,0.00123791,0.00123791,0.00123791
28,2368.94,1.57784,0.87896,0.9208,0.61651,0.43304,0.45427,0.23389,1.50551,0.85214,0.91216,0.00122141,0.00122141,0.00122141
29,2439.17,1.57139,0.87464,0.91774,0.61293,0.42702,0.44962,0.23375,1.4938,0.86192,0.90965,0.00120491,0.00120491,0.00120491
30,2509.54,1.56204,0.87119,0.91978,0.61316,0.43509,0.45435,0.23425,1.49456,0.83759,0.91174,0.0011884,0.0011884,0.0011884
31,2580.44,1.56268,0.86856,0.91943,0.59609,0.42688,0.44417,0.22705,1.52303,0.85191,0.91124,0.0011719,0.0011719,0.0011719
32,2651.32,1.56354,0.86771,0.91966,0.62337,0.43536,0.45966,0.2375,1.49333,0.83177,0.91037,0.0011554,0.0011554,0.0011554
33,2721.63,1.54915,0.85988,0.91661,0.61121,0.43471,0.4567,0.23712,1.48385,0.83708,0.90897,0.00113889,0.00113889,0.00113889
34,2793.98,1.55508,0.86369,0.91837,0.61223,0.43865,0.45804,0.2368,1.49235,0.8417,0.90861,0.00112239,0.00112239,0.00112239
35,2864.87,1.54816,0.85388,0.91539,0.623,0.44421,0.46564,0.24054,1.48007,0.8264,0.90669,0.00110589,0.00110589,0.00110589
36,2935.55,1.54061,0.85445,0.91699,0.60433,0.43538,0.45536,0.23269,1.49672,0.84694,0.9105,0.00108938,0.00108938,0.00108938
37,3005.97,1.5412,0.85021,0.91465,0.62347,0.44019,0.46299,0.23939,1.4789,0.825,0.90537,0.00107288,0.00107288,0.00107288
38,3076.94,1.55602,0.85296,0.91111,0.61357,0.44012,0.4618,0.23926,1.47926,0.82662,0.90657,0.00105638,0.00105638,0.00105638
39,3150.11,1.53972,0.84324,0.91312,0.6242,0.44163,0.46629,0.24164,1.47672,0.81494,0.90486,0.00103987,0.00103987,0.00103987
40,3314.28,1.5355,0.84229,0.91072,0.62268,0.44194,0.46901,0.24266,1.46901,0.8148,0.90343,0.00102337,0.00102337,0.00102337
41,3398.98,1.54423,0.84369,0.91092,0.62944,0.44227,0.46883,0.24309,1.46975,0.81337,0.90379,0.00100687,0.00100687,0.00100687
42,3467.54,1.5221,0.83843,0.91241,0.62998,0.44246,0.47044,0.24461,1.46956,0.8155,0.90459,0.000990365,0.000990365,0.000990365
43,3536.91,1.55212,0.848,0.90789,0.6283,0.44206,0.46902,0.24399,1.47162,0.81208,0.90343,0.000973861,0.000973861,0.000973861
44,3606.22,1.52794,0.83799,0.90933,0.63157,0.447,0.47339,0.24643,1.46368,0.80646,0.90244,0.000957358,0.000957358,0.000957358
45,3675.31,1.52778,0.83423,0.90981,0.63766,0.44346,0.47393,0.24639,1.46717,0.81006,0.90361,0.000940855,0.000940855,0.000940855
46,3746.23,1.51759,0.82664,0.90724,0.63458,0.44934,0.47532,0.24795,1.45681,0.80226,0.902,0.000924352,0.000924352,0.000924352
47,3814.74,1.51763,0.82779,0.90773,0.63678,0.4521,0.47734,0.24917,1.45252,0.80351,0.90212,0.000907848,0.000907848,0.000907848
48,3883.63,1.53179,0.83095,0.90816,0.62664,0.45204,0.47743,0.24762,1.46093,0.80134,0.8989,0.000891345,0.000891345,0.000891345
49,3958.67,1.51271,0.82677,0.90645,0.63507,0.45057,0.47812,0.24949,1.45418,0.80138,0.89994,0.000874842,0.000874842,0.000874842
50,4027.41,1.52787,0.82853,0.90727,0.64003,0.45266,0.47958,0.24991,1.4582,0.79997,0.90091,0.000858338,0.000858338,0.000858338
51,4095.71,1.50426,0.82092,0.90724,0.64676,0.45269,0.48279,0.25209,1.44798,0.78923,0.89841,0.000841835,0.000841835,0.000841835
52,4164.5,1.50515,0.817,0.90532,0.64127,0.45619,0.48353,0.25201,1.45066,0.79485,0.90086,0.000825332,0.000825332,0.000825332
53,4233.28,1.49929,0.8101,0.90351,0.64187,0.45023,0.47967,0.25023,1.4533,0.79608,0.90033,0.000808828,0.000808828,0.000808828
54,4301.68,1.50373,0.81581,0.90389,0.63813,0.45258,0.47953,0.2513,1.44507,0.79431,0.89952,0.000792325,0.000792325,0.000792325
55,4370.55,1.50804,0.8125,0.90297,0.63461,0.45513,0.47995,0.25184,1.44409,0.79616,0.89926,0.000775822,0.000775822,0.000775822
56,4439.46,1.50209,0.80841,0.90388,0.64053,0.4567,0.48503,0.25369,1.44011,0.78597,0.89843,0.000759318,0.000759318,0.000759318
57,4508.18,1.50724,0.81449,0.9034,0.64003,0.45783,0.48538,0.25471,1.43694,0.78715,0.8986,0.000742815,0.000742815,0.000742815
58,4577.17,1.49482,0.80419,0.902,0.64199,0.4616,0.48911,0.25663,1.43411,0.78128,0.89737,0.000726312,0.000726312,0.000726312
59,4645.94,1.49026,0.80589,0.90277,0.64115,0.45948,0.48659,0.25444,1.44182,0.78669,0.89775,0.000709809,0.000709809,0.000709809
60,4714.97,1.49747,0.80494,0.90389,0.64423,0.45931,0.48893,0.25604,1.4335,0.77777,0.89698,0.000693305,0.000693305,0.000693305
61,4783.77,1.48421,0.79755,0.89969,0.64886,0.45879,0.48934,0.25601,1.43565,0.77854,0.89658,0.000676802,0.000676802,0.000676802
62,4854.61,1.48981,0.79839,0.89938,0.64498,0.45912,0.48812,0.25701,1.42956,0.77763,0.89598,0.000660299,0.000660299,0.000660299
63,4923.49,1.48231,0.79386,0.89636,0.63773,0.46291,0.48874,0.25658,1.42968,0.77502,0.89538,0.000643795,0.000643795,0.000643795
64,4992.16,1.48631,0.79767,0.89917,0.6481,0.46089,0.49016,0.25658,1.43189,0.77909,0.89629,0.000627292,0.000627292,0.000627292
65,5061.33,1.48576,0.79748,0.89747,0.64024,0.46497,0.49196,0.25658,1.43494,0.77285,0.89525,0.000610789,0.000610789,0.000610789
66,5145.43,1.47771,0.79302,0.89709,0.65263,0.4606,0.49202,0.25736,1.43415,0.77502,0.89561,0.000594286,0.000594286,0.000594286
67,5214.76,1.47315,0.79008,0.89862,0.65036,0.45786,0.49076,0.25747,1.42987,0.77278,0.89525,0.000577782,0.000577782,0.000577782
68,5287.71,1.47373,0.79029,0.89924,0.65321,0.4624,0.49341,0.25824,1.43025,0.77353,0.89457,0.000561279,0.000561279,0.000561279
69,5356.25,1.47108,0.78555,0.89496,0.64909,0.46316,0.49217,0.25759,1.43257,0.77419,0.89542,0.000544776,0.000544776,0.000544776
70,5425.47,1.48372,0.79564,0.89855,0.6472,0.46565,0.49425,0.25877,1.43066,0.77318,0.89459,0.000528272,0.000528272,0.000528272
71,5496.66,1.46983,0.78912,0.89816,0.64314,0.46481,0.49324,0.25757,1.43286,0.77268,0.89442,0.000511769,0.000511769,0.000511769
72,5565.75,1.48379,0.79095,0.89702,0.65188,0.46307,0.49484,0.25967,1.4248,0.76786,0.89335,0.000495266,0.000495266,0.000495266
73,5635.09,1.46115,0.78277,0.89607,0.64778,0.46451,0.493,0.25864,1.42808,0.772,0.89461,0.000478762,0.000478762,0.000478762
74,5704.29,1.47409,0.78425,0.89455,0.64599,0.4683,0.49649,0.2598,1.42403,0.76656,0.89332,0.000462259,0.000462259,0.000462259
75,5774.51,1.45,0.77344,0.89421,0.64761,0.46574,0.49545,0.26002,1.42299,0.76787,0.89353,0.000445756,0.000445756,0.000445756
76,5884.28,1.4664,0.77971,0.89524,0.6496,0.46716,0.49696,0.26036,1.42435,0.76586,0.89366,0.000429253,0.000429253,0.000429253
77,5953.15,1.4531,0.77461,0.89176,0.65356,0.46834,0.49944,0.26162,1.41919,0.76282,0.89268,0.000412749,0.000412749,0.000412749
78,6021.65,1.45142,0.77219,0.89314,0.65035,0.46666,0.49736,0.26163,1.42073,0.76656,0.89266,0.000396246,0.000396246,0.000396246
79,6090.45,1.45396,0.77139,0.8924,0.65296,0.46612,0.49632,0.26163,1.4208,0.76295,0.89287,0.000379743,0.000379743,0.000379743
80,6162.81,1.45383,0.77038,0.89264,0.65637,0.46664,0.49772,0.26229,1.41898,0.76175,0.89319,0.000363239,0.000363239,0.000363239
81,6231.26,1.4481,0.76986,0.8932,0.64888,0.46958,0.49814,0.26217,1.41782,0.76241,0.89232,0.000346736,0.000346736,0.000346736
82,6299.34,1.44445,0.76724,0.89161,0.65396,0.46917,0.50015,0.26306,1.41757,0.75859,0.89255,0.000330233,0.000330233,0.000330233
83,6368.76,1.45252,0.76737,0.89098,0.65199,0.47134,0.50121,0.2637,1.41524,0.75772,0.89223,0.000313729,0.000313729,0.000313729
84,6439.67,1.45404,0.76311,0.88917,0.65608,0.46915,0.5007,0.26328,1.41724,0.75796,0.89188,0.000297226,0.000297226,0.000297226
85,6508.06,1.44441,0.76636,0.89115,0.65301,0.46963,0.5004,0.2634,1.41398,0.75793,0.892,0.000280723,0.000280723,0.000280723
86,6576.13,1.4359,0.7603,0.89124,0.66085,0.46885,0.50201,0.26408,1.41439,0.75541,0.89167,0.00026422,0.00026422,0.00026422
87,6644.47,1.44467,0.76256,0.88652,0.65962,0.46773,0.50066,0.26307,1.41441,0.7561,0.89193,0.000247716,0.000247716,0.000247716
88,6713.46,1.44227,0.76258,0.89287,0.65518,0.46915,0.50011,0.26269,1.4183,0.75611,0.89205,0.000231213,0.000231213,0.000231213
89,6782.03,1.44372,0.76047,0.88979,0.65979,0.47033,0.5015,0.26367,1.41322,0.75594,0.892,0.00021471,0.00021471,0.00021471
90,6850.86,1.42743,0.75402,0.88926,0.65641,0.47166,0.50159,0.2633,1.41601,0.7567,0.89215,0.000198206,0.000198206,0.000198206
91,6970.97,1.40713,0.76909,0.89233,0.65008,0.46505,0.49631,0.2594,1.42722,0.76532,0.89466,0.000181703,0.000181703,0.000181703
92,7036.7,1.38657,0.73447,0.89217,0.65216,0.46712,0.49717,0.26062,1.42268,0.76102,0.89249,0.0001652,0.0001652,0.0001652
93,7101.03,1.38122,0.73224,0.88824,0.64685,0.46801,0.49763,0.2608,1.42154,0.76008,0.89274,0.000148696,0.000148696,0.000148696
94,7165.5,1.37561,0.72527,0.88743,0.65091,0.46892,0.49912,0.26177,1.42185,0.75852,0.89274,0.000132193,0.000132193,0.000132193
95,7229.6,1.37474,0.72374,0.88899,0.65048,0.46895,0.49849,0.26177,1.42098,0.75756,0.89274,0.00011569,0.00011569,0.00011569
96,7294.26,1.36536,0.71965,0.88713,0.65407,0.46771,0.49891,0.26223,1.42104,0.75702,0.89234,9.91865e-05,9.91865e-05,9.91865e-05
97,7358.59,1.36283,0.71913,0.8888,0.65535,0.4687,0.50025,0.26242,1.42009,0.75642,0.89225,8.26832e-05,8.26832e-05,8.26832e-05
98,7422.97,1.36238,0.71516,0.88625,0.65601,0.46803,0.50074,0.26285,1.41931,0.755,0.89225,6.61799e-05,6.61799e-05,6.61799e-05
99,7487.35,1.36233,0.71612,0.88677,0.65611,0.46819,0.50023,0.26258,1.41914,0.75539,0.89244,4.96766e-05,4.96766e-05,4.96766e-05
100,7551.94,1.36421,0.71596,0.88633,0.65884,0.46708,0.50039,0.26296,1.41885,0.75476,0.89205,3.31733e-05,3.31733e-05,3.31733e-05
